| 100 | 5873.10 | -1.30 | -3.25 | 0.55 | 3.36 |
| 125 | 2614.62 | -0.66 | -3.35 | 0.35 | 3.44 |
| 150 | 1357.28 | -0.50 | -3.38 | 0.19 | 3.57 |
| 175 | 778.59 | -0.54 | -3.51 | 0.20 | 3.68 |
| 200 | 479.10 | -0.60 | -3.64 | 0.30 | 3.84 |
| 225 | 310.71 | -0.63 | -3.77 | 0.47 | 4.04 |
| 250 | 209.89 | -0.63 | -3.90 | 0.53 | 4.20 |
| 275 | 146.44 | -0.60 | -4.06 | 0.63 | 4.36 |
| 300 | 104.91 | -0.57 | -4.18 | 0.77 | 4.52 |
| 325 | 76.87 | -0.50 | -4.31 | 0.87 | 4.67 |
| 350 | 57.38 | -0.43 | -4.36 | 1.00 | 4.96 |
| 375 | 43.55 | -0.36 | -4.56 | 1.10 | 5.05 |
| 400 | 33.52 | -0.39 | -4.68 | 1.13 | 5.30 |
| 425 | 26.12 | -0.39 | -4.83 | 1.20 | 5.49 |
| 450 | 20.58 | -0.46 | -4.95 | 1.34 | 5.64 |
| 475 | 16.36 | -0.43 | -5.11 | 1.20 | 5.81 |
| 500 | 13.12 | -0.36 | -5.12 | 1.34 | 6.11 |
| 525 | 10.61 | -0.38 | -5.24 | 1.27 | 6.25 |
| 550 | 8.63 | -0.41 | -5.21 | 1.30 | 6.57 |
| 575 | 7.08 | -0.48 | -5.55 | 1.23 | 6.64 |
| 600 | 5.83 | -0.63 | -5.60 | 1.23 | 6.83 |
| 625 | 4.83 | -0.55 | -5.82 | 1.30 | 6.97 |
| 650 | 4.02 | -0.60 | -5.78 | 1.25 | 7.24 |
| 675 | 3.36 | -0.75 | -5.90 | 1.05 | 7.41 |
| 700 | 2.82 | -0.75 | -6.07 | 0.95 | 7.62 |
| 725 | 2.37 | -0.75 | -6.14 | 0.95 | 7.91 |
| 750 | 2.00 | -0.85 | -6.22 | 1.00 | 7.95 |
| 775 | 1.69 | -0.82 | -6.44 | 1.03 | 8.22 |
| 800 | 1.44 | -0.75 | -6.30 | 1.18 | 8.65 |
| 825 | 1.23 | -0.77 | -6.70 | 0.93 | 8.58 |
| 850 | 1.05 | -0.82 | -6.71 | 1.05 | 9.14 |
| 875 | 0.90 | -0.77 | -6.90 | 1.10 | 9.11 |
| 900 | 0.77 | -0.78 | -7.13 | 1.12 | 9.34 |
| 925 | 0.66 | -0.82 | -7.02 | 1.02 | 9.62 |
| 950 | 0.57 | -0.80 | -7.45 | 0.88 | 9.61 |
| 975 | 0.50 | -0.82 | -7.40 | 0.82 | 10.14 |
| 1000 | 0.43 | -0.99 | -8.01 | 0.85 | 9.60 |
| 1025 | 0.37 | -0.98 | -8.02 | 0.95 | 10.43 |
| 1050 | 0.32 | -0.91 | -8.05 | 0.84 | 10.31 |
| 1075 | 0.27 | -1.00 | -8.51 | 0.62 | 10.46 |
| 1100 | 0.25 | -1.10 | -8.64 | 0.47 | 10.60 |
| 1125 | 0.21 | -1.18 | -8.60 | 0.70 | 10.98 |
| 1150 | 0.18 | -1.04 | -7.89 | 1.08 | 12.03 |
| 1175 | 0.16 | -1.27 | -8.55 | 1.05 | 12.10 |
| 1200 | 0.14 | -1.29 | -9.53 | 0.74 | 11.40 |
| 1225 | 0.12 | -1.70 | -8.65 | 1.13 | 12.58 |
| 1250 | 0.10 | -1.24 | -9.58 | 0.86 | 11.86 |
| 1275 | 0.09 | -1.23 | -10.03 | 1.10 | 12.62 |
| 1300 | 0.08 | -1.50 | -10.50 | 0.88 | 12.80 |
| 1325 | 0.07 | -1.41 | -10.77 | 0.90 | 13.51 |
| 1350 | 0.06 | -1.48 | -10.35 | 0.97 | 13.23 |
| 1375 | 0.05 | -1.18 | -10.62 | 1.24 | 13.90 |
| 1400 | 0.05 | -1.20 | -11.60 | 0.96 | 13.46 |
